# LGT WIPI-C module (table 0x1fb) export ids
# Recovered from liblgt_system.so '_export_table_wipic' [id, function, name].
# Id == the (0x1fb, id) import slot. Authoritative ABI mapping.

0x0273	MC_netHttpGetType
0x0274	MC_netHttpGetEncoding
0x0275	MC_netHttpClose
0x0276	LGTC_netSocketClose
0x02bc	MC_srlOpen
0x02bd	MC_srlWrite
0x02be	MC_srlRead
0x02bf	MC_srlSetReadCB
0x02c0	MC_srlSetWriteCB
0x02c1	MC_srlClose
0x02c2	LGTC_srlGetPortID
0x0320	MC_uicCreateApplicationContext
0x0321	MC_uicGetClass
0x0322	MC_uicCreate
0x0323	MC_uicDestroy
0x0324	MC_uicRepaint
0x0325	MC_uicPaint
0x0326	MC_uicGetClassName
0x0327	MC_uicIsInstance
0x0328	MC_uicHandleEvent
0x0329	MC_uicConfigure
0x032a	MC_uicGetGeometry
0x032b	MC_uicSetEnable
0x032c	MC_uicSetCallback
0x032d	MC_uicSetEventHandler
0x032e	MC_uicSetFont
0x032f	MC_uicGetFont
0x0330	MC_uicSetFgColor
0x0331	MC_uicSetBgColor
0x0332	MC_uicSetLabel
0x0333	MC_uicGetLabel
0x0334	MC_uicSetLabelAlignment
0x0335	MC_uicSetTimeMask
0x0336	MC_uicSetTime
0x0337	MC_uicSetTimeLong
0x0338	MC_uicGetTime
0x0339	MC_uicAddMenuItem
0x033a	MC_uicGetMenuItem
0x033b	MC_uicRemoveMenuItem
0x033c	MC_uicSetActiveMenuItem
0x033d	MC_uicGetActiveMenuItem
0x033e	MC_uicInsertText
0x033f	MC_uicDeleteText
0x0340	MC_uicGetMaxTextSize
0x0341	MC_uicSetMaxTextSize
0x0342	MC_uicGetTextSize
0x0343	MC_uicGetText
0x0344	MC_uicAddListItem
0x0345	MC_uicGetListItem
0x0346	MC_uicRemoveListItem
0x0347	MC_uicSetActiveListItem
0x0348	MC_uicGetActiveListItem
0x0349	LGTC_uicSetCursorPos
0x034a	LGTC_uicGetCursorPos
0x0384	MC_utilHtonl
0x0385	MC_utilHtons
0x0386	MC_utilNtohl
0x0387	MC_utilNtohs
0x0388	MC_utilInetAddrInt
0x0389	MC_utilInetAddrStr
0x038a	LGTC_utilEncrypt
0x038b	LGTC_utilDecrypt
0x03e8	MC_ioDevOpen
0x03e9	MC_ioDevSetOpenCB
0x03ea	MC_ioDevClose
0x03eb	MC_ioDevRead
0x03ec	MC_ioDevWrite
0x03ed	MC_ioDevSetReadCB
0x03ee	MC_ioDevSetWriteCB
0x03ef	MC_ioDevControl
0x044c	MC_termResGetSupportedGroups
0x044d	MC_termResGetCount
0x044e	MC_termResGetList
0x044f	MC_termResGetFormat
0x0450	MC_termResGetSize
0x0451	MC_termResGetUIName
0x0452	MC_termResExists
0x0453	MC_termResRead
0x0454	MC_termResWrite
0x0455	MC_termResDelete
0x0456	MC_termResRegister
0x0457	MC_termResGetRegisteredInfo
0x0458	MC_termResGetGroupLockState
0x0459	MC_termResGetLockState
0x045a	MC_termResSetGroupLockState
0x045b	MC_termResSetLockState
0x045c	MC_termResCheckPassword
0x045d	MC_termResGetFreeSpace
0x045e	MC_termResGetGroupInfo
0x045f	MC_termResGetInfo
0x0460	MC_termResSearch
0x0461	MC_termResGetFreeSpaceByRes
0x0462	MC_termResExecuteCmd
0x0463	MC_termResSetInfo
0x0464	LGTC_termResGetRegisteredIdleImageResource
0x0465	LGTC_termResResetIdleResource
0x0466	LGTC_termResMultiWrite
0x0467	LGTC_termResMultiRead
0x0468	LGTC_termResMultiDelete
